State,CDC Website,CDC Website,CDC Website,CDC Website,CDC Website,CDC Website,CDC Website,CDC Website,CDC Website,CDC Website,CDC Website,CDC Website,CDC Website,CDC Website
Maryland,http://hivtest.cdc.gov/Detail.aspx?id=110428&id=1498&id=1499&id=1497&id=111704&id=110620&id=22880&id=111874&id=23924&id=170&id=110235&id=20162&id=111229&id=113585&id=15656&id=113431&id=110424&id=101084&id=113584&id=111705&id=1501&id=403&id=113430&id=5971&id=5367&id=32693&id=15676&id=35764&id=8777&id=24900&id=36976&id=15675&id=110616&id=19763&id=112218&id=111829&id=24901&id=112204&id=112219&id=110634&id=113557&id=111832&id=111830&id=112761&id=111408&id=110626&id=110427&id=101086&id=109187&id=113248&id=1512&id=113700&id=1513&id=113586&id=17285&id=110423&id=1514&id=1515&id=15660&id=19766&id=1516&id=109276&id=112285&id=5378&id=19768&id=5423&id=110426&id=109229&id=31100&id=1518&id=15634&id=1519&id=113699,,,,,,,,,,,,,
Michigan,http://hivtest.cdc.gov/Detail.aspx?id=109755&id=110480&id=1895&id=112377&id=11508&id=594&id=110848&id=110841&id=5973&id=32919&id=110842&id=15767&id=110847&id=1899&id=30562&id=597&id=113401&id=30407&id=596&id=110849&id=5975&id=113300&id=100617&id=16975&id=112119&id=32931&id=112744&id=7335&id=1902&id=112086&id=110527&id=595&id=112144&id=15923&id=113351&id=29780&id=1906&id=1908&id=11453&id=110836&id=5976&id=111803&id=113346&id=112082&id=112083&id=1907&id=110838&id=113349&id=110079&id=109744&id=1909&id=112280&id=109766&id=110022&id=15920&id=113347&id=113350&id=1910&id=113348&id=1911&id=109736&id=109731&id=112639&id=1912&id=110026&id=109747&id=1916&id=16977&id=113352&id=110837&id=109745&id=1917&id=110031&id=593&id=32480&id=111995&id=110028&id=110027&id=112286&id=1923&id=1924&id=110826&id=5974&id=15917&id=15918&id=1926&id=111628&id=1922&id=1927&id=21497&id=13158&id=109741&id=112360&id=112363&id=112361&id=1928&id=110845&id=112362&id=1929&id=1930&id=13157&id=1931&id=1932&id=110062&id=15922&id=5749&id=110025&id=5750&id=109762&id=14411&id=1834&id=111870&id=21584&id=1934&id=5977&id=111773&id=110066&id=1936&id=112283&id=110006&id=112284&id=109750&id=113069&id=109757&id=110008&id=1937&id=111623&id=109761&id=16980&id=5399&id=113068&id=26274&id=1938&id=109730&id=16974&id=110007&id=21582&id=22421&id=112282&id=22415&id=112177&id=111622&id=5980&id=109764&id=112076&id=31932&id=1940&id=15921&id=1941&id=112432&id=113093&id=5979&id=13171&id=112431&id=113095&id=1921&id=1942&id=113094&id=16976&id=113111&id=1943&id=16064&id=113110&id=109759,,,,,,,,,,,,,
Mississippi,http://hivtest.cdc.gov/Detail.aspx?id=17734&id=19871&id=112303&id=1804&id=19874&id=19878&id=2760&id=2761&id=17738&id=17727&id=113691&id=17848&id=109780&id=17737&id=17743&id=17729&id=111823&id=112302&id=1805&id=112074&id=1806&id=25779&id=2764&id=111828&id=17751&id=111827&id=111826&id=111413&id=112929&id=1807&id=111416&id=17742&id=17733&id=17736&id=113361&id=17754&id=17744&id=100553&id=17739&id=19892&id=112930&id=2762&id=17728&id=1808&id=17748&id=17753&id=109191&id=17730&id=2766&id=111908&id=2765&id=19873&id=19876&id=2770&id=17788&id=19879&id=17807&id=17791&id=17768&id=2763&id=17749&id=17775&id=109787&id=1809&id=19888&id=17767&id=17792&id=17771&id=100552&id=2769&id=111909&id=113559&id=18608&id=17773&id=37333&id=112376&id=7862&id=113304&id=110762&id=19885&id=1815&id=17790&id=113509&id=1816&id=113511&id=17763&id=17761&id=109135&id=19733&id=17789&id=17781&id=113512&id=19889&id=19891&id=113510&id=2778&id=1817&id=112358&id=19890&id=112357&id=1819&id=2773&id=2772&id=109749&id=112503&id=1818&id=2774&id=17819&id=2777&id=2775&id=2776&id=1820&id=17821&id=4693&id=1821&id=1823&id=1822&id=17868&id=17803&id=19883&id=17801&id=1824&id=17809&id=17815&id=17816&id=1825&id=17760&id=17756&id=17762&id=113513&id=1826&id=17759,,,,,,,,,,,,,
Missouri,http://hivtest.cdc.gov/Detail.aspx?id=109724&id=113152&id=110817&id=24689&id=112823&id=110821&id=111432&id=24476&id=113474&id=24477&id=5986&id=111268&id=27200&id=504&id=22395&id=18056&id=18053&id=112867&id=18049&id=109303&id=113473&id=110818&id=112288&id=18060&id=18058&id=18057&id=109793&id=111366&id=110586&id=111368&id=110819&id=109854&id=110123&id=109719&id=111367&id=109775&id=109721&id=109788&id=109791&id=19123&id=109789&id=2088&id=109790&id=109648&id=2089&id=113432&id=109765&id=113433&id=109720&id=109752&id=112466&id=109650&id=2090&id=109743&id=113620&id=110193&id=109717&id=109767&id=113622&id=113619&id=109794&id=109758&id=112290&id=109718&id=109753&id=113621&id=110187&id=30335&id=2091&id=112467&id=109655&id=109649&id=112468&id=112819&id=110308&id=113755&id=110881&id=2093&id=110887&id=113756&id=15941&id=29102&id=15944&id=112488&id=109981&id=36&id=5443&id=12541&id=2095&id=16432&id=110880&id=18061&id=7663&id=113758&id=113757&id=37359&id=21598&id=109776&id=109768&id=112822&id=109738&id=15948&id=111310&id=109751&id=112818&id=112821&id=112005&id=110104&id=109739&id=109748&id=109770&id=109651&id=109654&id=111740&id=113476&id=2103&id=111189&id=112990&id=109722&id=113478&id=18047&id=112828&id=112830&id=109742&id=113695&id=32449&id=113694&id=112829&id=112832&id=2104&id=110570&id=2108&id=5982&id=110121&id=109783&id=109773&id=109756&id=26407&id=112831&id=109657&id=2109&id=109771&id=109659&id=111190&id=112835&id=113434&id=109673&id=109807&id=109786&id=30333&id=109777&id=113435&id=109760&id=109781&id=112834&id=109810&id=109746&id=112996&id=109769&id=109795&id=112833&id=109652&id=109778&id=112837&id=112824&id=112836&id=112289&id=113477&id=112825&id=109774&id=111840&id=109792&id=2111&id=2975&id=5932&id=113760&id=11003,,,,,,,,,,,,,
New Jersey,http://hivtest.cdc.gov/Detail.aspx?id=113490&id=112997&id=9778&id=110587&id=110868&id=112959&id=1310&id=112962&id=110869&id=112960&id=112963&id=113406&id=5999&id=1301&id=113407&id=110862&id=112124&id=14577&id=5997&id=112848&id=16642&id=113505&id=30540&id=110882&id=111646&id=110588&id=15205&id=17306&id=23647&id=113518&id=35576&id=17685&id=3469&id=24757&id=112961&id=110589&id=112266&id=28029&id=5998&id=19861&id=112964&id=5994&id=112965&id=27493&id=113442&id=6000&id=111302&id=111196&id=111197&id=113441&id=111467&id=7358&id=24505&id=29112&id=112757&id=110936&id=113240&id=109602&id=5995&id=112759&id=111259&id=113370&id=30353&id=111257&id=111234&id=19859&id=17689&id=19022&id=22291&id=110828&id=111859&id=18678&id=28046&id=5993&id=19857&id=110592&id=29109&id=113369&id=109549&id=19856&id=113364&id=113365&id=112186&id=22276&id=113367&id=113366&id=113368&id=113042&id=112410&id=111256&id=36115&id=110642&id=6001&id=113025&id=110597&id=105550&id=24331&id=8969&id=29114&id=109907&id=110603&id=29113&id=111021&id=109596&id=5996&id=30622,,,,,,,,,,,,,
New York,http://hivtest.cdc.gov/Detail.aspx?id=113583&id=30631&id=21087&id=3761&id=9606&id=110788&id=109245&id=896&id=1364&id=16248&id=112667&id=111968&id=110856&id=6017&id=36234&id=109299&id=7066&id=11665&id=24375&id=9364&id=11980&id=26055&id=7793&id=109827&id=24081&id=28336&id=17628&id=112120&id=109919&id=112752&id=112296&id=1380&id=32942&id=21086&id=111965&id=111967&id=110729&id=112754&id=9590&id=112176&id=112753&id=5492&id=109850&id=901&id=110637&id=111896&id=886&id=111886&id=9646&id=36097,http://hivtest.cdc.gov/Detail.aspx?id=112058&id=111869&id=112020&id=112369&id=17447&id=113484&id=919&id=4672&id=110789&id=17433&id=36080&id=17595&id=17702&id=113482&id=923&id=24849&id=113579&id=110639&id=113578&id=113581&id=113580&id=111933&id=17549&id=113582&id=21089&id=26324&id=112896&id=111898&id=17699&id=17503&id=113483&id=7871&id=111804&id=112895&id=105628&id=17622&id=19752&id=105624&id=17504&id=17505&id=112382&id=112383&id=21467&id=30770&id=17525&id=105626&id=105627&id=9460&id=113630&id=113712,http://hivtest.cdc.gov/Detail.aspx?id=17625&id=105625&id=112729&id=100582&id=112732&id=17548&id=17380&id=8294&id=113711&id=22297&id=113282&id=111979&id=113668&id=113669&id=111422&id=6122&id=6016&id=111931&id=7913&id=110872&id=912&id=8449&id=9666&id=17718&id=8439&id=112750&id=7596&id=29055&id=8452&id=109246&id=111473&id=36799&id=9409&id=113186&id=9574&id=42&id=17430&id=109280&id=111400&id=8454&id=8448&id=111472&id=113693&id=17578&id=111930&id=8455&id=9414&id=36860&id=17717&id=109300,http://hivtest.cdc.gov/Detail.aspx?id=924&id=112913&id=1390&id=111932&id=112846&id=109599&id=14304&id=17501&id=21083&id=113284&id=26562&id=23277&id=6013&id=23275&id=113283&id=110267&id=113285&id=30613&id=32941&id=9453&id=112404&id=1392&id=23278&id=9449&id=112081&id=113565&id=29942&id=111328&id=110562&id=29952&id=109562&id=6008&id=109&id=105622&id=112406&id=113031&id=29943&id=113566&id=112730&id=113196&id=109554&id=113685&id=111230&id=100577&id=100576&id=111231&id=100592&id=9775&id=112560&id=9464,http://hivtest.cdc.gov/Detail.aspx?id=6005&id=4&id=1403&id=26173&id=7595&id=1405&id=6026&id=30464&id=113503&id=111204&id=9456&id=17574&id=112726&id=112727&id=112728&id=100532&id=113708&id=9774&id=110790&id=1406&id=23585&id=6020&id=112733&id=112735&id=112739&id=1407&id=113710&id=112736&id=113709&id=100537&id=112731&id=111206&id=17404&id=100578&id=17508&id=9457&id=100558&id=109915&id=100544&id=17527&id=6023&id=109552&id=109964&id=109914&id=17442&id=17440&id=19867&id=113360&id=17569&id=27202,http://hivtest.cdc.gov/Detail.aspx?id=19757&id=112737&id=1410&id=111749&id=19840&id=35898&id=113353&id=113355&id=6027&id=113354&id=7379&id=111750&id=100560&id=100566&id=24353&id=100574&id=5526&id=110768&id=6028&id=112689&id=9462&id=6029&id=17422&id=17594&id=109913&id=17460&id=492&id=100554&id=100556&id=21603&id=27485&id=112970&id=113141&id=100573&id=111110&id=240&id=17518&id=1418&id=19865&id=17461&id=100543&id=6007&id=6021&id=112969&id=112009&id=19863&id=100580&id=112010&id=100522&id=109986,http://hivtest.cdc.gov/Detail.aspx?id=17498&id=17554&id=112738&id=17500&id=1422&id=16924&id=6025&id=100567&id=1424&id=24210&id=17467&id=19769&id=28159&id=112147&id=112168&id=112297&id=100570&id=9465&id=17464&id=112946&id=9539&id=17463&id=110221&id=9772&id=6012&id=100529&id=7886&id=7874,,,,,,,
North Carolina,http://hivtest.cdc.gov/Detail.aspx?id=1584&id=1585&id=1586&id=112088&id=1587&id=6035&id=7917&id=16424&id=111183&id=113003&id=113001&id=25155&id=35878&id=35938&id=17881&id=1589&id=21632&id=1591&id=1592&id=30091&id=113002&id=1593&id=1588&id=17877&id=1596&id=113053&id=36980&id=1594&id=32756&id=1595&id=113479&id=21601&id=36634&id=6032&id=125&id=113014&id=110116&id=113019&id=17897&id=1600&id=112545&id=17889&id=1601&id=113480&id=112543&id=1602&id=17894&id=113438&id=1603&id=113017&id=100887&id=17898&id=100886&id=21517&id=113008&id=6034&id=100545&id=8842&id=111756&id=113015&id=23875&id=30623&id=113018&id=32741&id=5531&id=113279&id=28399&id=37345&id=7645&id=100534&id=100595&id=7451&id=111846&id=113623&id=34695&id=17888&id=22370&id=17893&id=113624&id=113625&id=1613&id=113626&id=112544&id=1614&id=17883&id=1615&id=109849&id=113627&id=22868&id=111845&id=5543&id=1617&id=113517&id=37250&id=1618&id=1619&id=37253&id=17885&id=18325&id=1621&id=1622&id=1623&id=5529&id=17884&id=1625&id=1626&id=1627&id=111417&id=17895&id=1629&id=1628&id=1630&id=6033&id=100555&id=5530&id=5533&id=111751&id=1633&id=11998&id=22944&id=1635&id=23035&id=21586&id=1636&id=17896&id=100525&id=1637&id=23036&id=17890&id=18327&id=100607&id=110981&id=113437&id=10009&id=110939&id=17876&id=1640&id=113440&id=100602&id=17880&id=112992&id=113439&id=1641&id=1642&id=1644&id=1643&id=1645&id=1646&id=1647&id=1648&id=17891&id=17854&id=1649&id=1650&id=17857&id=1651&id=3768&id=1653&id=1654&id=1655&id=17899&id=18328&id=112994&id=1660&id=18326&id=1656&id=18324&id=1658&id=17886&id=1659&id=18926&id=1657&id=1661&id=6031&id=32932&id=100518&id=1663&id=17878,,,,,,,,,,,,,
Ohio,http://hivtest.cdc.gov/Detail.aspx?id=111219&id=109685&id=112139&id=109951&id=6045&id=30853&id=111215&id=112359&id=105571&id=111216&id=112268&id=113371&id=5552&id=111218&id=18082&id=1852&id=113084&id=111217&id=109667&id=109922&id=111385&id=109683&id=109955&id=111248&id=111249&id=113661&id=36749&id=113660&id=36748&id=6047&id=1855&id=1856&id=26497&id=5698&id=109679&id=109586&id=112037&id=112138&id=109692&id=30969&id=26032&id=111284&id=112917&id=110958&id=26034&id=15281&id=112293&id=15341&id=15285&id=11785&id=15283&id=5540&id=1860&id=5541&id=26021&id=110321&id=110320&id=3513&id=15342&id=111444&id=112352&id=709&id=110957&id=110661&id=3149&id=111225&id=6036&id=1863&id=110945&id=109809&id=112426&id=3790&id=4512&id=6048&id=3154&id=109571&id=109684&id=109670&id=11783&id=3157&id=48&id=111080&id=513&id=112141&id=109671&id=1197&id=15226&id=3140&id=112861&id=6043&id=109686&id=112259&id=112262&id=6039&id=112261&id=112260&id=1869&id=111212&id=111222&id=111213&id=109926&id=30331&id=109675&id=19451&id=6042&id=5555&id=1872&id=111233&id=9448&id=6046&id=34303&id=6445&id=109937&id=109674&id=21662&id=6037&id=109954&id=13240&id=111787&id=109569,,,,,,,,,,,,,
Oklahoma,http://hivtest.cdc.gov/Detail.aspx?id=109975&id=18354&id=109973&id=110910&id=18355&id=109611&id=111571&id=109972&id=18346&id=112111&id=110912&id=15903&id=109610&id=109628&id=111981&id=109967&id=15926&id=109933&id=111839&id=110074&id=563&id=2170&id=9117&id=110196&id=110288&id=110911&id=110913&id=15929&id=9127&id=15900&id=19749&id=109604&id=109627&id=109623&id=19748&id=109934&id=2181&id=18148&id=15905&id=109632&id=109633&id=109614&id=109613&id=109607&id=109617&id=29127&id=18147&id=111964&id=109619&id=109603&id=2182&id=109668&id=109626&id=109618&id=109612&id=109636&id=112007&id=111938&id=109581&id=15910&id=109583&id=110909&id=2184&id=18146&id=112080&id=2185&id=12004&id=18357&id=112051&id=18356&id=112079&id=112090&id=19747&id=27455&id=22000&id=112894&id=112057&id=11280&id=15925&id=6050&id=15904&id=18344&id=109971&id=18345&id=109970&id=109966&id=15907&id=112909&id=109625&id=111843&id=109635&id=113391&id=19741&id=109629&id=111844&id=109630&id=111958&id=109931&id=109935&id=18149&id=109634&id=19746&id=15908&id=109582&id=109579&id=111956&id=109606&id=19740&id=109620&id=15906&id=18358&id=109580&id=2189&id=111601&id=19744&id=109605&id=111589&id=111962&id=109624&id=111590&id=15909&id=111572&id=23317&id=109622&id=109616&id=21637&id=19739&id=109969&id=109929&id=18343&id=109936&id=111588&id=109621&id=109631&id=109932&id=19743,,,,,,,,,,,,,
Pennsylvania,http://hivtest.cdc.gov/Detail.aspx?id=109796&id=110979&id=19774&id=111561&id=110982&id=19759&id=1431&id=1435&id=113247&id=113676&id=19804&id=19750&id=26343&id=113698&id=1440&id=112099&id=1441&id=18188&id=19756&id=2796&id=112053&id=18158&id=2798&id=112155&id=111442&id=19802&id=18128&id=6056&id=1442&id=18170&id=18178&id=18182&id=18183&id=111376&id=18171&id=18172&id=18193&id=112154&id=18194&id=24888&id=18156&id=18157&id=19803&id=1446&id=18169&id=19772&id=19801&id=30233&id=18181&id=27496&id=111748&id=18140&id=112162&id=113690&id=19780&id=109993&id=18190&id=112003&id=109496&id=24117&id=112674&id=30243&id=2800&id=109805&id=5566&id=19755&id=6055&id=1453&id=112143&id=18176&id=18175&id=113701&id=22777&id=111270&id=111271&id=5575&id=6062&id=18164&id=6057&id=18177&id=31196&id=113041&id=18218&id=113231&id=109799&id=18187&id=27494&id=112816&id=18186&id=32744&id=113030&id=11459&id=13662&id=12006&id=11463&id=31066&id=1467&id=11462&id=111228&id=18189&id=111768&id=6060&id=110333&id=6936&id=17907&id=15078&id=110780&id=110783&id=6054&id=112331&id=18174&id=1469&id=110781&id=109991&id=110949&id=112700&id=112576&id=110952&id=111715&id=15069&id=110322&id=110323&id=34849&id=29125&id=113380&id=5006&id=111309&id=34698&id=7687&id=6058&id=110324&id=112457&id=37083&id=37234&id=113330&id=1478&id=29953&id=7909&id=19764&id=26728&id=19767&id=7088&id=30142&id=112199&id=23977&id=34852&id=113383&id=32767&id=19773&id=23910&id=113570&id=112478&id=12456&id=7904&id=111293&id=7906&id=31925&id=25381&id=7907&id=112477&id=7905&id=111294&id=32455&id=110955&id=112721&id=22702&id=1482&id=6061&id=110087&id=110950&id=25636&id=22100&id=110951&id=284&id=11461&id=7410,,,,,,,,,,,,,
South Carolina,http://hivtest.cdc.gov/Detail.aspx?id=1664&id=1665&id=1666&id=34311&id=111436&id=113601&id=1674&id=105583&id=22375&id=1667&id=1668&id=111977&id=1670&id=1671&id=1672&id=105589&id=11435&id=113037&id=110873&id=36981&id=110522&id=181&id=6064&id=1679&id=1681&id=111871&id=1683&id=113184&id=1682&id=112501&id=11401&id=1686&id=111303&id=32148&id=110526&id=113452&id=1687&id=112577&id=113453&id=112578&id=1690&id=112529&id=113454&id=11579&id=113451&id=1692&id=11424&id=1694&id=21616&id=1695&id=11430&id=1696&id=1697&id=1698&id=1699&id=113299&id=109994&id=11638&id=1700&id=1701&id=112866&id=36165&id=36037&id=1702&id=7416&id=1703&id=1705&id=1706&id=1708&id=112502&id=3770&id=23648&id=1711&id=111582&id=11632&id=112900&id=109137&id=1714&id=113033&id=1715&id=1716&id=18919&id=1717&id=100803&id=1718&id=1719&id=1669&id=1720,,,,,,,,,,,,,
Tennessee,http://hivtest.cdc.gov/Detail.aspx?id=17973&id=109430&id=109492&id=408&id=112673&id=17971&id=5586&id=17988&id=112060&id=17968&id=17969&id=17974&id=109433&id=109505&id=17970&id=109508&id=109407&id=17987&id=426&id=111401&id=109373&id=109380&id=109406&id=17975&id=17972&id=112061&id=109375&id=1793&id=110190&id=1790&id=21952&id=30338&id=9910&id=109386&id=392&id=109410&id=17967&id=109476&id=109425&id=109414&id=109499&id=109506&id=112068&id=109511&id=109474&id=109374&id=109806&id=112084&id=17985&id=1797&id=17979&id=30413&id=112349&id=112011&id=5583&id=110010&id=112169&id=109437&id=17976&id=22492&id=17986&id=113078&id=109494&id=109490&id=113645&id=30411&id=109424&id=109471&id=22493&id=109502&id=17984&id=109439&id=110013&id=113644&id=113646&id=30394&id=109417&id=109389&id=109429&id=109387&id=109378&id=109399&id=6067&id=112790&id=111879&id=109477&id=109491&id=17978&id=109436&id=109482&id=109394&id=109382&id=109393&id=111841&id=488&id=6065&id=112460&id=113250&id=109444&id=109390&id=390&id=2780&id=109469&id=109478&id=109802&id=424&id=109803&id=109388&id=109396&id=109383&id=109510&id=109498&id=109497&id=109384&id=109443&id=425&id=113074&id=109409&id=109473&id=17983&id=109489&id=109493&id=109512&id=109445&id=109440,,,,,,,,,,,,,
Texas,http://hivtest.cdc.gov/Detail.aspx?id=113647&id=10388&id=10549&id=5630&id=111001&id=10385&id=110491&id=6658&id=111386&id=112758&id=10847&id=112392&id=111000&id=16957&id=112938&id=14606&id=6357&id=110442&id=110443&id=16145&id=10384&id=726&id=10389&id=109379&id=17114&id=112393&id=109392&id=10934&id=10550&id=2195&id=2196&id=110425&id=28818&id=113416&id=113415&id=10905&id=17165&id=113414&id=110505&id=111240&id=110493&id=110484&id=111051&id=14204&id=109372&id=10919&id=24516&id=22191&id=100892&id=109998,http://hivtest.cdc.gov/Detail.aspx?id=110000&id=2201&id=111809&id=110992&id=111006&id=110989&id=113243&id=111041&id=109381&id=110996&id=16886&id=110753&id=2203&id=110516&id=111065&id=2204&id=10047&id=10839&id=10049&id=10846&id=2205&id=10893&id=112073&id=112893&id=2206&id=10915&id=113396&id=10904&id=113397&id=6081&id=111158&id=113394&id=113395&id=113392&id=113393&id=110042&id=2207&id=18464&id=100907&id=10835&id=10830&id=110495&id=2209&id=110503&id=110469&id=36105&id=24981&id=37348&id=14639&id=37013,http://hivtest.cdc.gov/Detail.aspx?id=9375&id=11803&id=26987&id=21747&id=110749&id=6075&id=110746&id=14640&id=110648&id=110747&id=113472&id=112420&id=110774&id=112813&id=111670&id=17141&id=112396&id=27861&id=17142&id=110748&id=37061&id=101020&id=111878&id=112117&id=113244&id=5599&id=28177&id=110663&id=110656&id=7819&id=10883&id=17110&id=17111&id=21593&id=2217&id=10107&id=113332&id=17156&id=110485&id=10940&id=109377&id=113292&id=10045&id=351&id=10841&id=26542&id=10838&id=10913&id=10902&id=2220,http://hivtest.cdc.gov/Detail.aspx?id=110439&id=110458&id=110609&id=10051&id=2221&id=113296&id=113297&id=110030&id=10936&id=24315&id=113298&id=100903&id=111261&id=111260&id=17154&id=10951&id=6080&id=34348&id=24955&id=5038&id=34688&id=24871&id=36309&id=36306&id=110496&id=110499&id=100879&id=111277&id=36307&id=100883&id=110459&id=110461&id=110488&id=110489&id=110490&id=110502&id=352&id=110509&id=6071&id=101025&id=2227&id=112522&id=6078&id=10906&id=109336&id=110474&id=109338&id=5600&id=6070&id=113290,http://hivtest.cdc.gov/Detail.aspx?id=110016&id=110926&id=110018&id=2230&id=111275&id=110020&id=7644&id=17129&id=113291&id=113288&id=110928&id=17152&id=25188&id=113286&id=18654&id=113287&id=113289&id=110934&id=110930&id=10962&id=10886&id=100005&id=10853&id=10908&id=111264&id=10109&id=10898&id=17117&id=10945&id=10888&id=10947&id=10948&id=14605&id=109999&id=112892&id=6069&id=7665&id=100899&id=113340&id=10085&id=110506&id=10780&id=113128&id=113333&id=10052&id=110015&id=113129&id=17123&id=10064&id=112907,http://hivtest.cdc.gov/Detail.aspx?id=10963&id=10914&id=113343&id=10937&id=10939&id=112840&id=6068&id=100890&id=113342&id=2173&id=100889&id=100906&id=21630&id=10955&id=2174&id=17163&id=10954&id=21670&id=111479&id=373&id=10098&id=10884&id=100904&id=375&id=10882&id=10903&id=110486&id=10960&id=109189&id=109196&id=109195&id=10065&id=21978&id=112343,,,,,,,,
Washington,http://hivtest.cdc.gov/Detail.aspx?id=113167&id=17947&id=29119&id=32463&id=32460&id=17940&id=113226&id=112632&id=110971&id=113168&id=32464&id=113170&id=113230&id=32478&id=32468&id=113169&id=17948&id=109591&id=113171&id=603&id=6844&id=112525&id=6131&id=112789&id=2511&id=110974&id=113228&id=112524&id=113227&id=35912&id=6842&id=112542&id=112528&id=2512&id=29122&id=6839&id=112342&id=109740&id=174&id=13081&id=6090&id=112526&id=110973&id=111974&id=2519&id=9396&id=113229&id=113173&id=113172&id=6088&id=111438&id=21948&id=6087&id=2521&id=21940&id=112670&id=17926&id=112672&id=21934&id=113238&id=111195&id=32421&id=113236&id=113235&id=100336&id=10308&id=112671&id=32461&id=5656&id=112633&id=110876&id=17929&id=110972&id=113234&id=111975&id=113064&id=113063&id=111866&id=6092&id=113233&id=6804&id=113232&id=113065&id=32476&id=113237&id=17925&id=113224&id=32462&id=112643&id=112642&id=111586&id=113225&id=112647&id=112644&id=112648&id=32475&id=17935&id=18370&id=112646&id=112645&id=100346&id=2528&id=2529&id=2530&id=113222&id=113223&id=2535&id=36000&id=111971&id=109297&id=112974&id=112975&id=17924&id=110093&id=110395&id=109522&id=110097&id=110096&id=110098&id=113253&id=6094&id=113252&id=36317&id=2534&id=110095&id=113255&id=109811&id=110397&id=113320&id=18373&id=31506&id=113254&id=18372&id=2538&id=2536&id=112650&id=18365&id=17936&id=10306&id=112651&id=2539&id=17914&id=112653&id=112655&id=111661&id=111191&id=6091&id=113259&id=113261&id=17922&id=111970&id=113257&id=112630&id=113427&id=6089&id=113429&id=22411&id=113428&id=113256&id=6093&id=17950&id=113258,,,,,,,,,,,,,
Wisconsin,http://hivtest.cdc.gov/Detail.aspx?id=111050&id=10313&id=29142&id=15747&id=10311&id=1959&id=10312&id=113573&id=34534&id=41&id=1966&id=112538&id=1967&id=100191&id=1968&id=111469&id=8807&id=112395&id=112470&id=111026&id=111463&id=111037&id=196&id=110340&id=113574&id=443&id=112537&id=100192&id=30780&id=100193&id=5885&id=1974&id=100194&id=113487&id=100780&id=111689&id=32093&id=113486&id=111703&id=111730&id=111033&id=1981&id=32642&id=111035&id=111785&id=23350&id=111690&id=111729&id=111040&id=100374&id=100375&id=109488&id=112089&id=109503&id=19717&id=112381&id=16855&id=111036&id=109516&id=111702&id=111701&id=111030&id=112386&id=100378&id=5687&id=100376&id=5680&id=100380&id=100379&id=100377&id=109906&id=5897&id=1991&id=5674&id=16961&id=5895&id=111698&id=111728&id=5666&id=111029&id=113500&id=109487&id=109470&id=100201&id=112387&id=109504&id=21712&id=19723&id=109961&id=21989&id=109509&id=111578&id=5686&id=112385&id=113027&id=111039&id=5893&id=109960&id=100199,,,,,,,,,,,,,
